Household Income,Household Size,Census Region,Product Total Price,Connection Speed,Children Present,Domain ID,Basket Total,Machine Identifier,Zip Code,product Quantity,Product Category ID,Date of Activity,Domain Name,Product Name,Racial Background,Most Education -- Head of Household,Site Session ID,Time of Activity,Country of Origin,Oldest Age -- Head of Household
7,4,1,7.99,1,1,4.04667E+18,57.21,70630306,7747,1,6,20120506,amazon.com,THE BLIND SIDE N/A,1,99,7.68865E+13,0:00:10,0,8
4,4,1,11.45,1,1,4.04667E+18,27.42,72129885,7304,1,6,20120731,amazon.com,A TABLE FOR THREE (NEW YORK) N/A,1,99,1.10098E+14,16:08:05,0,11
7,2,4,68.4,1,0,4.04667E+18,72.39,78856083,80209,1,6,20120501,amazon.com,"LITE SOURCE LS-21024 NARVEL CERAMIC TABLE LAMP, ANTIQUE BRONZE WITH TAN FABRIC SHADE N/A",1,99,7.78125E+13,19:15:38,0,4
5,4,2,29,1,1,4.04667E+18,32.99,81589411,48104,1,6,20121116,amazon.com,"ECO HOLD RUG PAD 5' X 8' - EARTH FRIENDLY, PROVIDES EXTRA CUSHION, FOR ALL HARD SURFACES, HEAVIER AND THICKER THAN MOST RUG PADS N/A",1,99,1.10847E+11,15:51:19,0,4
7,3,1,54.04,1,0,4.04667E+18,113.76,83427727,2061,1,6,20121211,amazon.com,SOLSTICE DESIGNER MATTRESS N/A,1,99,1.36332E+11,3:30:18,0,8
1,2,2,36.88,1,0,4.04667E+18,57.85,84330386,61101,1,6,20120802,amazon.com,ELECTRIFIED 915B403001 REPLACEMENT LAMP WITH HOUSING FOR MITSUBISHI PROJECTORS N/A,2,99,1.10767E+14,17:04:16,0,11
1,3,2,1.09,1,1,4.04667E+18,14.95,85526257,46619,1,6,20120402,amazon.com,SAMSUNG GALAXY S VIBRANT T959 PINK SPRING FLOWER CHERRY BLOSSOMS DESIGN HARD CASE COVER N/A,5,99,7.91395E+13,0:37:19,1,4
7,3,2,32.49,1,1,4.04667E+18,47.58,86052080,55020,1,6,20120410,amazon.com,CLIPLIGHT MANUFACTURING 946KIT SUPER SEAL PRO A/C LEAK REPAIR KIT N/A,1,99,8.17118E+13,21:12:01,0,7
6,2,4,14.99,1,1,4.04667E+18,41.47,86891479,94002,1,6,20121006,amazon.com,ALMAY SMART SHADE BRONZER SUNKISSED (2-PACK) N/A,1,99,1.89538E+11,23:30:03,0,11
6,2,4,17.23,1,1,4.04667E+18,307.47,86891479,94002,1,6,20121007,amazon.com,FIREPLACE INSERT SEAL N/A,1,99,1.96052E+11,23:32:30,0,11
5,5,2,54.99,1,1,4.04667E+18,153.99,87117473,60185,1,6,20120619,amazon.com,LUNA PREMIUM HYPOALLERGENIC ZIPPERED BED PROOF MATTRESS ENCASEMENT 9\\1 HEIGHT - TWIN SIZE - MADE IN THE USA N/A,1,99,1.02382E+14,22:58:26,0,7
1,6,4,3.49,1,1,4.04667E+18,3.49,87571868,13357,1,6,20121017,amazon.com,(2) MIRROR DECALS FOR SUBARU BAJA FORESTER LEGACY TRIBECA SVX IMPREZA STI WRX OUTBACK AWD TURBO N/A,2,99,2.17109E+11,13:32:15,0,8
5,4,1,155,1,1,4.04667E+18,158.99,90607095,10036,1,6,20120503,amazon.com,BOSS TRADITIONAL EXECUTIVE OXBLOOD VINYL CHAIR WITH MAHOGANY FINISH OXBLOOD N/A,3,99,7.88832E+13,7:44:54,0,10
1,6,2,249.38,1,1,4.04667E+18,292.87,91390808,60645,2,6,20120128,amazon.com,CONTEMPORARY DINING CHAIR IN BLACK BONDED LEATHER WITH CHROME LEGS (SET OF 2) N/A,2,99,7.24033E+13,19:38:58,0,6
