Household Income,Household Size,Census Region,Product Total Price,Connection Speed,Children Present,Domain ID,Basket Total,Machine Identifier,Zip Code,product Quantity,Product Category ID,Date of Activity,Domain Name,Product Name,Racial Background,Most Education -- Head of Household,Site Session ID,Time of Activity,Country of Origin,Oldest Age -- Head of Household
6,2,3,34.39,1,0,4.04667E+18,41.87,13544187,34110,1,31,20121120,amazon.com,TASERAR C2 LITHIUM REPLACEMENT BATTERY PACK N/A,1,99,1835733604,17:03:31,0,11
7,3,1,59.99,1,0,4.04667E+18,199.97,70597986,2889,1,31,20120111,amazon.com,OLYMPUS VN-8100PC DIGITAL VOICE RECORDER 142600 (SILVER AND BLACK) N/A,1,99,7.26495E+13,14:27:01,0,10
7,3,1,119.98,1,0,4.04667E+18,119.98,70597986,2889,2,31,20120117,amazon.com,OLYMPUS VN-8100PC DIGITAL VOICE RECORDER 142600 (SILVER AND BLACK) N/A,1,99,7.44451E+13,20:13:02,0,10
4,4,3,38.38,1,1,4.04667E+18,38.38,71981945,21625,1,31,20121209,amazon.com,PYLE PLSQ10D 10-INCH 1200 WATT SQUARE DVC SUBWOOFER N/A,1,99,39425741431,19:10:35,0,7
5,4,1,1.6,1,0,4.04667E+18,11.55,77002457,1970,1,31,20120215,amazon.com,EARPHONE FOR 4G W/MIC N/A,5,99,7.44961E+13,18:13:17,0,8
2,2,4,155.52,1,1,4.04667E+18,185.65,77349796,83619,1,31,20120804,amazon.com,VIEWSONIC VX2250WM-LED 22-INCH (21.5-INCH VIS) WIDESCREEN FULL HD 1080P LED MONITOR WITH INTEGRATED STEREO SPEAKERS N/A,1,99,1.00736E+14,20:27:15,0,1
7,3,1,102.47,1,1,4.04667E+18,116.41,81044714,6231,1,31,20120221,amazon.com,COMPLETE SIRIUS RADIO SYSTEM FOR SATELLITE READY PIONEER RECEIVERS CD-SB10 + SCC1 N/A,1,99,7.33649E+13,1:16:46,0,7
4,3,1,20.12,1,1,4.04667E+18,20.12,81398296,18901,1,31,20121206,amazon.com,HANES CLASSICS COMFORT SOLID KNIT BOXER 4 PACK X-LARGE\\2ASSORTED COLORS N/A,1,99,1.00572E+11,22:24:41,0,5
3,3,1,2197.99,1,1,4.04667E+18,2197.99,81884473,19038,1,31,20121207,amazon.com,SAMSUNG UN60ES7100 60-INCH 1080P 240HZ 3D SLIM LED HDTV (BLACK) N/A,1,99,1.04736E+11,19:33:28,0,6
3,4,3,79.99,1,1,4.04667E+18,2143.2,85184297,24368,1,31,20120505,amazon.com,NINTENDO ENTERTAINMENT SYSTEM POWER SET N/A,3,99,7.6626E+13,19:48:54,0,5
2,2,3,51.9,1,1,4.04667E+18,117.93,85241959,73071,1,31,20121116,amazon.com,"SYLVANIA SDVD7015-BLUE 7-INCH PORTABLE DVD PLAYER, BLUE N/A",1,99,1.57747E+11,16:39:49,0,3
6,4,4,73.08,1,1,4.04667E+18,77.56,86650699,91505,1,31,20120809,amazon.com,COMPLETE PCB DESIGN USING ORCAD CAPTURE AND PCB EDITOR KRAIG MITZNER  BOOKS N/A,5,99,1.10427E+14,3:06:54,0,7
6,4,4,59.31,1,1,4.04667E+18,227.61,86650699,91505,1,31,20120822,amazon.com,COMPLETE PCB DESIGN USING ORCAD CAPTURE AND PCB EDITOR N/A,5,99,1.11692E+14,13:51:56,0,7
