Household Income,Household Size,Census Region,Product Total Price,Connection Speed,Children Present,Domain ID,Basket Total,Machine Identifier,Zip Code,product Quantity,Product Category ID,Date of Activity,Domain Name,Product Name,Racial Background,Most Education -- Head of Household,Site Session ID,Time of Activity,Country of Origin,Oldest Age -- Head of Household
2,1,4,14.95,1,0,4.04667E+18,64.77,61938846,92056,1,30,20120702,amazon.com,BOSE REPLACEMENT REMOTE - FOR BOSE SOUNDDOCK SERIES II OR BOSE SOUNDDOCK PORTABLE - BLACK N/A,1,99,1.04475E+14,19:07:48,0,11
5,4,3,12.24,1,1,4.04667E+18,35.46,65366854,73401,1,30,20120227,amazon.com,5-IN-1 CAR CHARGER + FM TRANSMITTER / HOLDER FULL RANGE FREQUENCY FM TRANSMITTER CAR KIT FOR APPLE IPOD (BLACK) N/A,1,99,7.36891E+13,0:00:41,0,1
1,4,3,7,1,1,4.04667E+18,15.09,66599305,71112,1,30,20120605,amazon.com,WHITE PINK 2 IN 1 HYBRID COMBINATION HARD PC MESH PLASTIC AND SILICONE SKIN FOR SAMSUNG GALAXY S II SKYROCKET 4G ANDRIOD SMARTPHONE SAMSUNG SGH-I727 /AT&T + SCREEN PROTECTOR FILM + DRAGONCELL STYLUS P N/A,5,99,1.0294E+14,19:29:00,1,3
5,5,4,20.95,1,1,4.04667E+18,12.9,67511189,92019,1,30,20120623,amazon.com,PROTECTIVE DECAL SKIN STICKER FOR DELL INSPIRON 15 1545 15.6 INCH SCREEN CASE COVER INSPIRON1545-LTP-381 N/A,1,99,9.19423E+13,15:44:25,0,5
7,3,1,11.06,1,0,4.04667E+18,15.05,70597986,2889,1,30,20120104,amazon.com,RITEAV - SVGA MONITOR CABLE - 50 FT. N/A,1,99,7.08027E+13,16:40:26,0,10
7,3,1,213.92,1,0,4.04667E+18,236.95,70597986,2889,2,30,20120104,amazon.com,BROTHER HL2240D MONOCHROME PRINTER N/A,1,99,7.08027E+13,15:19:57,0,10
7,3,1,11.06,1,0,4.04667E+18,236.95,70597986,2889,1,30,20120104,amazon.com,RITEAV - SVGA MONITOR CABLE - 50 FT. N/A,1,99,7.08027E+13,15:19:57,0,10
7,3,1,23.8,1,0,4.04667E+18,23.8,70597986,2889,5,30,20120104,amazon.com,BELKIN F3U133-10 HI-SPEED USB 2.0 CABLE (10 FEET) N/A,1,99,7.08027E+13,15:19:57,0,10
7,3,1,139.98,1,0,4.04667E+18,199.97,70597986,2889,2,30,20120111,amazon.com,BROTHER PRINTER HL2230 MONOCHROME PRINTER N/A,1,99,7.26495E+13,14:27:01,0,10
7,3,1,146.64,1,0,4.04667E+18,146.64,70597986,2889,3,30,20120123,amazon.com,BROTHER BLACK HIGH YIELD TONER CARTRIDGE (TN450) N/A,1,99,7.27585E+13,15:53:30,0,10
