Household Income,Household Size,Census Region,Product Total Price,Connection Speed,Children Present,Domain ID,Basket Total,Machine Identifier,Zip Code,product Quantity,Product Category ID,Date of Activity,Domain Name,Product Name,Racial Background,Most Education -- Head of Household,Site Session ID,Time of Activity,Country of Origin,Oldest Age -- Head of Household
6,2,3,99.99,1,0,4.04667E+18,108.82,13544187,34110,1,10,20120721,amazon.com,"POINTEHAVEN T-800 PIMA COTTON DEEP POCKET LUXURY QUEEN SHEET SET, CLOUD BLUE N/A",1,99,9.97181E+13,17:16:39,0,11
6,2,3,29.4,1,0,4.04667E+18,160.5,69092965,32124,1,10,20120413,amazon.com,"CENTO WHITE CLAM SAUCE, 10.5-OUNCE CANS (PACK OF 12) N/A",1,99,7.85384E+13,5:10:18,0,11
1,1,2,1.76,1,0,4.04667E+18,15.47,71696240,57701,1,10,20120814,amazon.com,TWIN FANTASIES N/A,1,99,1.1169E+14,4:31:22,0,1
7,3,2,16.5,1,1,4.04667E+18,44.23,75448319,60190,1,10,20120728,amazon.com,"AHMAD TEA LONDON TELEPHONE BOX TIN, ENGLISH BREAKFAST, 25-COUNT TIN (PACK OF 4) N/A",1,99,9.97834E+13,17:07:45,0,9
6,3,3,34.99,1,1,4.04667E+18,118.1,76998978,20721,1,10,20121211,amazon.com,PILLOW PETS DREAM LITES - SNUGGLY PUPPY 11\\1 N/A,1,99,74832548473,17:26:14,0,5
5,1,4,54.58,1,0,4.04667E+18,54.58,78163065,94965,1,10,20121229,amazon.com,"CATHAY HOME FASHIONS 8-PIECE BED IN A BAG MICROFIBER SET, QUEEN SIZE, BELLE REVE N/A",1,99,64596546187,5:33:14,0,9
6,5,1,7.99,1,1,4.04667E+18,61.96,80058490,18049,1,10,20120106,amazon.com,CUDDLEE PET PILLOW PANDA 15\\1 N/A,1,99,7.06767E+13,0:01:00,0,11
7,2,1,22.2,1,0,4.04667E+18,77.37,81095251,10003,1,10,20120801,amazon.com,"PAMPERS SENSITIVE WIPES -- 768 TOTAL COUNT WITH TUB -- (64 COUNT, PACK OF 12) N/A",1,99,1.12168E+14,4:25:39,0,4
6,3,4,30,1,0,4.04667E+18,88.41,82927282,95618,1,10,20121217,amazon.com,MY PILLOW PETS RAINBOW UNICORN N/A,1,99,1.21399E+11,4:16:56,0,11
4,4,3,2.82,1,0,4.04667E+18,32.28,82949252,76648,1,10,20120916,amazon.com,BEST OF KING BISCUIT LIVE 2 N/A,1,99,1.56204E+11,22:32:20,0,9
4,4,3,2.57,1,0,4.04667E+18,32.28,82949252,76648,1,10,20120916,amazon.com,BEST OF KING BISCUIT LIVE 3 N/A,1,99,1.56204E+11,22:32:20,0,9
4,4,3,4.16,1,0,4.04667E+18,32.28,82949252,76648,1,10,20120916,amazon.com,BEST OF KING BISCUIT LIVE 1 N/A,1,99,1.56204E+11,22:32:20,0,9
4,4,3,4.44,1,0,4.04667E+18,32.28,82949252,76648,1,10,20120916,amazon.com,BEST OF KING BISCUIT LIVE 4 N/A,1,99,1.56204E+11,22:32:20,0,9
3,4,3,31,1,1,4.04667E+18,2143.2,85184297,24368,1,10,20120505,amazon.com,HYPERKIN INC C2 NES/SNES RETRO TWIN GAMING SYSTEM - BLACK N/A,3,99,7.6626E+13,19:48:54,0,5
3,4,3,32,1,1,4.04667E+18,2143.2,85184297,24368,1,10,20120505,amazon.com,HYPERKIN INC C2 NES/SNES RETRO TWIN GAMING SYSTEM - SILVER N/A,3,99,7.6626E+13,19:48:54,0,5
6,3,4,21.61,1,1,4.04667E+18,256.98,86710031,92128,1,10,20120206,amazon.com,"ITCH-X FAST-ACTING ANTI-ITCH GEL, 1.25-OUNCE TUBE (PACK OF 4) N/A",1,99,7.33927E+13,8:42:23,0,5
3,1,2,4.03,1,0,4.04667E+18,28.71,86933091,46617,1,10,20120322,amazon.com,BEHOLD YOUR KING MATTHEW N/A,1,99,7.69559E+13,16:52:24,0,11
3,3,3,29.95,1,1,4.04667E+18,36.71,87529994,77049,1,10,20121219,amazon.com,BRIGHT LIGHT PILLOW AS SEEN ON TV - STARLIGHT SQUARE N/A,3,99,1.72404E+11,0:32:45,1,10
3,2,2,9.94,1,1,4.04667E+18,142.16,89897327,63025,2,10,20120901,amazon.com,"PUREX COMPLETE 3-IN-1 LAUNDRY SHEETS, SPRING OASIS, 22 COUNT N/A",1,99,2.51074E+11,17:40:18,0,6
5,2,3,38,1,1,4.04667E+18,158.33,90301797,32407,1,10,20120613,amazon.com,CUBAVERA MEN'S TRADITIONAL GUAYABERA CAMP SHIRT. CM176 - MEDIUM - BRIGHT WHITE N/A,1,99,1.03065E+14,16:32:28,0,10
2,6,1,1.72,1,1,4.04667E+18,16.71,90710795,2906,1,10,20120406,amazon.com,SCREEN PROTECTOR TWIN PACK FOR LG VS910 (REVOLUTION) N/A,2,99,7.89479E+13,3:40:34,0,1
5,5,1,25.08,1,0,4.04667E+18,33.07,90715684,1085,4,10,20120914,amazon.com,WILTON ONESIE GIRL FILL IN BABY SHOWER INVITATIONS N/A,5,99,2.79895E+11,16:14:36,0,1
6,1,1,25.59,1,0,4.04667E+18,38.09,91172032,7030,1,10,20121208,amazon.com,PAMPERS SENSITIVE WIPES 64 COUNT (PACK OF 12) N/A,1,99,2.19176E+11,15:55:27,0,5
4,4,1,35.96,1,1,4.04667E+18,51.52,91172190,7675,1,10,20120528,amazon.com,"CAREFREE LONG FLAT UNSCENTED PANTILINERS, 92-COUNT BOXES (PACK OF 4) N/A",1,99,7.91275E+13,1:09:07,0,7
7,5,1,27.53,1,1,4.04667E+18,28.7,91432337,7747,1,10,20120608,amazon.com,GENUINE MY PILLOW PET KANGAROO LARGE 18\\1 & SMALL BABY N/A,1,99,1.00549E+14,13:40:35,0,7
7,5,1,22,1,0,4.04667E+18,59.15,92048339,11356,2,10,20120123,amazon.com,THERMAL CAT MAT BLUE (22\\1 X 18 1/2\\1) 1 MAT N/A,1,99,7.33874E+13,3:06:33,0,8
1,3,4,3.98,1,1,4.04667E+18,9.17,92058675,85305,1,10,20120126,amazon.com,DOWN PERISCOPE N/A,1,99,7.43171E+13,23:05:47,0,8
7,4,3,11.99,1,1,4.04667E+18,37.01,92270629,21784,1,10,20121126,amazon.com,SURFBOARDS POLAR FLEECE THROW BLANKET 50X60 N/A,1,99,2.65507E+11,19:51:59,0,8
4,4,2,25,1,1,4.04667E+18,121.99,92339034,52537,1,10,20121128,amazon.com,WOODLAND CAMOUFLAGE - 6 PIECE 800 COUNT MICROFIBER SHEET SET - FULL N/A,1,99,2.75004E+11,4:18:53,0,5
4,4,2,47.99,1,1,4.04667E+18,121.99,92339034,52537,1,10,20121128,amazon.com,WOODLAND CAMOUFLAGE - MICROFIBER COMFORTER SPREAD - QUEEN N/A,1,99,2.75004E+11,4:18:53,0,5
3,3,4,54.48,1,1,4.04667E+18,273.45,92345387,28540,1,10,20120326,amazon.com,SCARAWAY LONG SILICONE SCAR HEALING SHEETS - CONTAINS THE FULL DR. RECOMMENDED 12 WEEK SUPPLY N/A,2,99,7.73885E+13,21:58:42,0,10
5,4,3,26.98,1,1,4.04667E+18,63.7,92392750,20877,1,10,20121031,amazon.com,PILLOW PETS DREAM LITES - PINK BUTTERFLY 11\\1 N/A,3,99,2.95738E+11,18:32:05,0,4
1,1,4,25,1,0,4.04667E+18,46.43,92396418,90680,1,10,20121127,amazon.com,"OMEGA ULTRA SLIM DIGITAL BATHROOM SCALE, 400 LB. CAPACITY, SENSE-ON TECHNOLOGY N/A",3,99,2.71041E+11,5:52:42,0,5
4,3,3,17,1,0,4.04667E+18,115.06,92556831,22801,2,10,20120827,amazon.com,BOY BABY SHOWER ORGANZA BAGS (2 DZ) N/A,1,99,1.15334E+14,14:56:30,0,9
3,2,1,65.3,1,0,4.04667E+18,130.6,92560345,14223,1,10,20120110,amazon.com,SUNBEAM BW1205-030-757 ROYAL DREAMS HEATED BLANKET N/A,1,99,7.28982E+13,5:12:23,0,11
4,3,3,32.9,1,1,4.04667E+18,320.87,92560627,23435,1,10,20121126,amazon.com,"DELTA FAUCET RP50781SS GALA, SOAP/LOTION DISPENSER ASSEMBLY, STAINLESS N/A",1,99,2.77968E+11,18:05:20,1,10
6,4,1,15.47,1,0,4.04667E+18,19.46,92563026,7607,1,10,20120710,amazon.com,"DIVATEX HOME FASHIONS ROYAL OPULENCE SATIN TWIN SHEET SET, IVORY N/A",1,99,1.08993E+14,16:22:43,0,11
5,1,3,19.5,1,0,4.04667E+18,103.54,92576951,31405,1,10,20121127,amazon.com,"AMERICAN BABY COMPANY ORGANIC INTERLOCK PACK N PLAY SHEET, 2 PACK N/A",1,99,2.92774E+11,3:43:16,0,7
1,5,2,69.99,1,1,4.04667E+18,69.99,92665881,62234,1,10,20121104,amazon.com,7 PIECE KING LOUIS MICRO SUEDE CHOCOLATE AND BEIGE COMFORTER SET N/A,1,99,2.80335E+11,21:16:19,0,7
7,4,3,24.19,1,1,4.04667E+18,91.17,92708395,71203,1,10,20120902,amazon.com,RUSS BERRIE 645403 HUMMINGBIRD ESTATE FLAG N/A,1,99,3.08197E+11,21:29:13,0,8
4,4,3,11.86,1,1,4.04667E+18,11.24,92953446,31909,1,10,20120916,amazon.com,"CHEF BOYARDEE BIG BEEFARONI, 14.75-OUNCE CANS (PACK OF 12) SUBSCRIBE & SAVE",1,99,3.26492E+11,21:24:50,0,6
4,4,3,2.99,1,1,4.04667E+18,7.47,92953446,31909,1,10,20120921,amazon.com,"HIS SECRET TWIN [M/M/F,PSEUDO-INCEST] (THE TWIN THREEWAY) EMMA ROSE  KINDLE STORE N/A",1,99,3.28488E+11,1:00:49,0,6
4,4,3,3.99,1,1,4.04667E+18,41.5,92953446,31909,1,10,20120630,amazon.com,14.5\\1 NON-SLIP SAFETY SHOWER TREADS N/A,1,99,9.28028E+13,4:06:24,0,6
1,4,3,49.99,1,1,4.04667E+18,65.53,93218083,29574,1,10,20120115,amazon.com,INTEX RAISED DOWNY QUEEN AIRBED WITH BUILT-IN ELECTRIC PUMP N/A,2,99,7.2784E+13,22:58:08,0,5
